x u
0.000000000000000000e+00 0.000000000000000000e+00
1.612064899999999948e-04 3.231958400000000120e-01
3.832278099999999977e-04 7.681399599999999550e-01
6.641585999999999670e-04 1.330310199999999998e+00
1.002192500000000010e-03 2.003625399999999779e+00
1.395615999999999914e-03 2.778288799999999892e+00
1.842807099999999943e-03 3.638277299999999936e+00
2.342225199999999931e-03 4.559935099999999686e+00
2.892406499999999880e-03 5.513162600000000246e+00
3.491955200000000214e-03 6.465274299999999918e+00
4.139543499999999605e-03 7.386007300000000164e+00
4.833907600000000339e-03 8.251658400000000171e+00
5.573840699999999850e-03 9.047052400000000105e+00
6.358192000000000357e-03 9.765299799999999308e+00
7.185859400000000306e-03 1.040611200000000025e+01
8.055788899999999364e-03 1.097363900000000037e+01
8.966974799999999357e-03 1.147450000000000081e+01
9.918452600000000549e-03 1.191629799999999939e+01
1.090929900000000077e-02 1.230668400000000062e+01
1.193862700000000027e-02 1.265281500000000037e+01
1.300558400000000059e-02 1.296111400000000025e+01
1.410935399999999930e-02 1.323720199999999991e+01
1.524915500000000035e-02 1.348591799999999985e+01
1.642423100000000094e-02 1.371141000000000076e+01
1.763385599999999984e-02 1.391720499999999916e+01
1.887733299999999961e-02 1.410629699999999964e+01
2.015398700000000168e-02 1.428121600000000058e+01
2.146317000000000016e-02 1.444409100000000024e+01
2.280425999999999981e-02 1.459670200000000051e+01
2.417665199999999986e-02 1.474052400000000063e+01
2.557976600000000031e-02 1.487678400000000067e+01
2.701303999999999858e-02 1.500650599999999990e+01
2.847593199999999894e-02 1.513056100000000015e+01
2.996791600000000069e-02 1.524968499999999949e+01
3.148848499999999662e-02 1.536448000000000036e+01
3.303715000000000124e-02 1.547543399999999991e+01
3.461343900000000279e-02 1.558294399999999946e+01
3.621689100000000106e-02 1.568733499999999914e+01
3.784706100000000129e-02 1.578887800000000041e+01
3.950351900000000083e-02 1.588780599999999943e+01
4.118584499999999871e-02 1.598432999999999993e+01
4.289363399999999993e-02 1.607864199999999855e+01
4.462649600000000161e-02 1.617089500000000157e+01
4.638405000000000306e-02 1.626119999999999877e+01
4.816592499999999832e-02 1.634966100000000111e+01
4.997176100000000343e-02 1.643638400000000033e+01
5.180121299999999873e-02 1.652145399999999853e+01
5.365393400000000035e-02 1.660494600000000176e+01
5.552960099999999788e-02 1.668692599999999970e+01
5.742789300000000069e-02 1.676745800000000131e+01
5.934849899999999900e-02 1.684659600000000168e+01
6.129111500000000018e-02 1.692439299999999847e+01
6.325544299999999454e-02 1.700088900000000081e+01
6.524120099999999867e-02 1.707611699999999999e+01
6.724811199999999878e-02 1.715011799999999909e+01
6.927589100000000610e-02 1.722294799999999881e+01
7.132428500000000116e-02 1.729465100000000177e+01
7.339302899999999852e-02 1.736526500000000084e+01
7.548187900000000172e-02 1.743482600000000105e+01
7.759058400000000411e-02 1.750337199999999882e+01
7.971889999999999532e-02 1.757093199999999911e+01
8.186660599999999455e-02 1.763752699999999862e+01
8.403345900000000479e-02 1.770316100000000148e+01
8.621924499999999991e-02 1.776786399999999944e+01
8.842375199999999436e-02 1.783166900000000155e+01
9.064675799999999395e-02 1.789460400000000107e+01
9.288805899999999505e-02 1.795668399999999920e+01
9.514745500000000578e-02 1.801793100000000081e+01
9.742474299999999421e-02 1.807835999999999999e+01
9.971974499999999852e-02 1.813799300000000159e+01
1.020322500000000049e-01 1.819685199999999980e+01
1.043620999999999993e-01 1.825494600000000034e+01
1.067090900000000064e-01 1.831227700000000169e+01
1.090730599999999995e-01 1.836886000000000152e+01
1.114538199999999951e-01 1.842472499999999869e+01
1.138512299999999977e-01 1.847990599999999972e+01
1.162650999999999962e-01 1.853443000000000040e+01
1.186952700000000055e-01 1.858831999999999951e+01
1.211416000000000021e-01 1.864159000000000077e+01
1.236039200000000060e-01 1.869425599999999932e+01
1.260820800000000130e-01 1.874633400000000094e+01
1.285759399999999997e-01 1.879783400000000171e+01
1.310853499999999894e-01 1.884876099999999965e+01
1.336101600000000056e-01 1.889911800000000142e+01
1.361502400000000057e-01 1.894892300000000063e+01
1.387054600000000026e-01 1.899818199999999990e+01
1.412756699999999921e-01 1.904690400000000139e+01
1.438607399999999870e-01 1.909509100000000004e+01
1.464605599999999896e-01 1.914274800000000099e+01
1.490749899999999906e-01 1.918989200000000039e+01
1.517039000000000026e-01 1.923652799999999985e+01
1.543471800000000005e-01 1.928265999999999991e+01
1.570047099999999918e-01 1.932828900000000161e+01
