x u
4.706190423808820356e-06 9.495001565710316574e-03
4.235544803610213904e-05 8.545285082276962707e-02
1.176525457874388891e-04 2.373563018898023069e-01
2.305946487847210236e-04 4.651721772271934507e-01
3.811775048213617012e-04 7.688047198823427797e-01
5.693954445382676255e-04 1.147968622790478843e+00
7.952413816361136867e-04 1.601899160259165455e+00
1.058706813143128755e-03 2.128819469429296340e+00
1.359781819734728892e-03 2.725148734210980805e+00
1.698455066107107392e-03 3.384581307418504714e+00
2.074713801404004521e-03 4.097348216673307064e+00
2.488543859696545901e-03 4.850049529663761128e+00
2.939929660517037746e-03 5.626318729166937871e+00
3.428854209445164614e-03 6.408271026857642383e+00
3.955299098748032982e-03 7.178375470280271564e+00
4.519244508073061439e-03 7.921238794915330672e+00
5.120669205194383622e-03 8.624869643662540497e+00
5.759550546812097771e-03 9.281219319724014483e+00
6.435864479404695970e-03 9.886049921041552224e+00
7.149585540134895112e-03 1.043833903481402103e+01
7.900686857808203456e-03 1.093947413837634919e+01
8.689140153884555851e-03 1.139244220297162968e+01
9.514915743542906590e-03 1.180114170308160837e+01
1.037798253679911298e-02 1.216986243294786085e+01
1.127830803967622142e-02 1.250292682311143366e+01
1.221585835542782217e-02 1.280447070893147732e+01
1.319059818581447274e-02 1.307832976294446681e+01
1.420249083243252386e-02 1.332798911656820451e+01
1.525149819809579199e-02 1.355656466704930807e+01
1.633758078826974547e-02 1.376681432167331565e+01
1.746069771255875924e-02 1.396116301424340023e+01
1.862080668624543911e-02 1.414173370718718559e+01
1.981786403188257051e-02 1.431038661361188247e+01
2.105182468093780290e-02 1.446875395894928928e+01
2.232264217549007057e-02 1.461825034319248395e+01
2.363026866997886000e-02 1.476007916488897820e+01
2.497465493300587980e-02 1.489525969002694694e+01
2.635575034918802295e-02 1.502466645173610971e+01
2.777350292106373075e-02 1.514903069840397976e+01
2.922785927104964987e-02 1.526895672199582776e+01
3.071876464345146829e-02 1.538496326178216478e+01
3.224616290652448924e-02 1.549750204615961557e+01
3.380999655458749587e-02 1.560693328349457509e+01
3.541020671018724197e-02 1.571354279865228953e+01
3.704673312631612259e-02 1.581757925436585310e+01
3.871951418867936034e-02 1.591927786501869591e+01
4.042848691801548267e-02 1.601887087804081844e+01
4.217358697246709198e-02 1.611654723078497753e+01
4.395474865000359443e-02 1.621242494373892029e+01
4.577190489089433267e-02 1.630659865584648216e+01
4.762498728023412120e-02 1.639915428898493488e+01
4.951392605051829765e-02 1.649018675516281718e+01
5.143865008426973251e-02 1.657977742917986319e+01
5.339908691671646501e-02 1.666798706475957204e+01
5.539516273851974315e-02 1.675489899049440723e+01
5.742680239855313395e-02 1.684060191107404236e+01
5.949392940673170482e-02 1.692516902393674627e+01
6.159646593689194205e-02 1.700865881601274765e+01
6.373433282972174041e-02 1.709110656205804801e+01
6.590744959574101891e-02 1.717253360816262742e+01
6.811573441833185250e-02 1.725298710106731193e+01
7.035910415681867480e-02 1.733248434550080219e+01
7.263747434959888505e-02 1.741105477681900737e+01
7.495075921732241575e-02 1.748872648727240886e+01
7.729887166612137150e-02 1.756552045677701557e+01
7.968172329088940575e-02 1.764146686562124700e+01
8.209922437860950328e-02 1.771661044443876420e+01
8.455128391173216684e-02 1.779097482449121514e+01
8.703780957160178744e-02 1.786458970769767163e+01
8.955870774193275263e-02 1.793747728795688090e+01
9.211388351233373850e-02 1.800963358715387130e+01
9.470324068188118449e-02 1.808102529717542239e+01
9.732668176274117400e-02 1.815165158834184922e+01
9.998410798383972065e-02 1.822152758758581825e+01
1.026754192945816824e-01 1.829064248327473052e+01
1.054005143686173041e-01 1.835900985305487154e+01
1.081592906076572769e-01 1.842666982087393279e+01
1.109516441453354263e-01 1.849367098947969623e+01
1.137774698511193616e-01 1.856006842250408795e+01
1.166366613342684211e-01 1.862582445472276049e+01
1.195291109478392455e-01 1.869088609765683984e+01
1.224547097927386474e-01 1.875524416480997303e+01
1.254133477218238868e-01 1.881889251887544390e+01
1.284049133440490209e-01 1.888179215177620662e+01
1.314292940286591049e-01 1.894395835674968609e+01
1.344863759094309108e-01 1.900538959289274388e+01
1.375760438889593873e-01 1.906612032207421237e+01
1.406981816429915266e-01 1.912615521045572820e+01
1.438526716248055282e-01 1.918550183670148357e+01
1.470393950696363694e-01 1.924417720453438818e+01
1.502582319991474513e-01 1.930223161228277107e+01
1.535090612259478737e-01 1.935966846371177752e+01
1.567917603581545638e-01 1.941646104567720243e+01
1.601062058040004787e-01 1.947258599389305900e+01
1.634522727764879946e-01 1.952808393013001620e+01
1.668298352980868149e-01 1.958301104031923501e+01
1.702387662054769546e-01 1.963742361056822006e+01
1.736789371543364657e-01 1.969133353616661708e+01
1.771502186241735721e-01 1.974472499641315437e+01
